Symbol,1/31/2006,2/28/2006,3/31/2006,4/28/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/29/2006,10/31/2006,11/30/2006,12/29/2006,1/31/2007,2/28/2007,3/30/2007,4/30/2007,5/31/2007,6/29/2007,7/31/2007,8/31/2007,9/28/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/30/2008,6/30/2008,7/31/2008,8/29/2008,9/30/2008,10/31/2008,11/28/2008,12/31/2008,1/30/2009,2/27/2009,3/31/2009,4/30/2009,5/29/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/30/2009,11/30/2009,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/28/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/28/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019,5/31/2019,6/28/2019,7/31/2019,8/30/2019,9/30/2019,10/31/2019,11/29/2019,12/31/2019,1/31/2020,2/28/2020,3/31/2020,4/30/2020,5/29/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/30/2020,11/30/2020,12/31/2020
A,22.3443,23.7215,24.7428,25.3161,22.9901,20.7959,18.74,21.1912,21.5404,23.4579,20.9804,22.9637,21.0858,20.9211,22.1994,22.6474,25.1514,25.3293,25.1382,23.9851,24.3014,24.2816,24.9273,24.2091,22.3114,20.1699,19.6559,19.9063,24.6374,23.4184,23.761,22.9044,19.5439,14.6217,12.4077,10.2991,11.9135,9.1394,10.1278,12.0321,12.0123,13.3829,15.3004,16.9213,18.338,16.3019,19.0563,20.473,18.4698,20.73,22.6606,23.8928,21.323,18.7334,18.4039,17.7714,21.9885,22.9308,23.0758,27.2995,27.5631,27.7278,29.5069,32.8872,32.8609,33.6779,27.7805,24.2948,20.5916,24.4266,24.7099,23.0165,27.9848,28.7426,29.3949,27.8561,26.8523,25.9806,25.3516,24.6034,25.5237,23.8907,25.4175,27.2435,29.7988,27.6028,28.0088,27.6551,30.3312,28.6161,29.9344,31.2127,34.3775,34.0488,35.9337,38.4505,39.0959,38.2757,37.5966,36.419,38.3734,38.7992,37.8873,38.6101,38.5784,37.4274,40.0968,38.4082,35.5216,39.6972,39.1716,39.0019,38.8322,36.4625,38.7024,34.3171,32.5399,35.7911,39.6394,39.7389,35.785,35.4998,37.876,39.004,43.7412,42.3925,45.9762,44.8963,45.1113,41.7392,42.132,43.7718,47.048,49.2865,50.9217,53.0214,58.1165,57.2527,57.716,62.475,61.973,65.8038,66.9742,64.9226,71.1851,66.4931,64.8548,63.8776,60.1658,60.0881,64.3247,65.7857,68.7078,63.2391,70.6181,66.0089,74.4141,77.7312,78.651,76.9658,65.7396,73.2107,68.2008,69.8712,75.4561,74.5896,79.5327,84.1813,81.4677,76.0503,70.8474,75.8331,87.1893,87.597,95.4874,99.5416,100.0571,101.3737,116.0798,117.6586
AAPL,2.3089,2.0942,1.9178,2.1523,1.8276,1.7512,2.078,2.0747,2.3539,2.4792,2.8027,2.5942,2.6214,2.5872,2.8409,3.0516,3.7057,3.7317,4.0289,4.2344,4.6927,5.8082,5.5718,6.0568,4.139,3.8228,4.3879,5.3189,5.7715,5.1199,4.8603,5.1838,3.4754,3.2898,2.8336,2.6098,2.7559,2.7309,3.2143,3.8476,4.1527,4.3551,4.996,5.1434,5.6675,5.7638,6.1127,6.4436,5.8728,6.2568,7.1857,7.9835,7.8547,7.6911,7.866,7.4334,8.6763,9.2032,9.5142,9.8631,10.3755,10.8003,10.6565,10.7061,10.6357,10.2639,11.9399,11.7671,11.6598,12.3771,11.6867,12.3839,13.958,16.5864,18.3327,17.8566,17.6655,17.8572,18.6755,20.4282,20.4854,18.2811,18.0581,16.4196,14.0536,13.6959,13.735,13.7388,14.0478,12.3859,14.1351,15.3192,14.9901,16.4349,17.5865,17.743,15.8322,16.7421,17.0762,18.7735,20.2513,20.8115,21.4095,23.0689,22.675,24.3067,26.8824,24.9498,26.4823,29.1503,28.2358,28.3992,29.686,28.5798,27.6398,25.8099,25.1667,27.3527,27.1944,24.1968,22.3762,22.3464,25.1891,21.6646,23.2202,22.2296,24.2317,24.804,26.4287,26.5433,25.9713,27.2168,28.5163,32.3302,33.9043,33.9019,36.1995,34.1284,35.2445,39.0206,36.6699,40.2198,41.0359,40.4103,39.9804,42.7044,40.2254,39.6212,44.9756,44.5521,45.7988,54.9784,54.5219,52.8603,43.2826,38.2316,40.3402,42.1463,46.2356,48.845,42.7801,48.3637,52.0584,51.2031,54.939,61.0198,65.7499,72.245,76.1469,67.415,62.712,72.4558,78.6164,90.2034,105.0988,127.8654,114.7558,107.8691,118.1701,131.7092
ABC,17.099,18.0301,18.9239,16.9167,17.099,16.4439,16.8675,17.3325,17.7407,18.5257,18.0698,17.6651,20.5805,20.6857,20.7447,19.6593,20.1628,19.4739,18.5449,19.4283,18.4051,19.1278,18.4525,18.2491,18.9446,16.9967,16.6952,16.52,16.8686,16.3217,17.089,16.7677,15.3939,12.7853,12.8647,14.6333,14.9042,13.0674,13.4377,13.8409,15.3072,14.6388,16.2727,17.635,18.5204,18.3301,20.4996,21.6453,22.6334,23.3495,24.0823,25.6894,26.1154,26.5078,25.0217,22.8389,25.6686,27.4853,25.9098,28.6562,30.1175,31.9268,33.3164,34.2259,34.8104,34.9624,32.3529,33.5274,31.5706,34.5608,31.578,31.612,33.1251,31.8775,33.8309,31.741,31.6659,33.6863,33.9859,33.0899,33.2531,33.8802,36.458,37.287,39.1781,40.9419,44.6284,46.9443,47.0907,48.6146,50.7392,49.7454,53.3986,57.0954,61.8492,61.6563,58.9466,59.705,57.7163,57.3555,64.6194,64.1602,67.913,68.5465,68.4668,75.65,80.9081,80.1172,84.4625,91.579,101.3019,101.8633,100.5664,95.0091,94.482,89.6299,85.1054,86.4673,88.6857,93.244,80.522,78.1841,78.1209,76.8122,67.9843,71.9194,77.2417,79.157,73.5231,64.0028,71.307,71.4898,79.8009,84.0065,81.2433,75.3222,84.5999,87.1443,86.4898,74.3178,76.633,71.2617,78.9286,85.4424,92.7471,88.8889,80.5287,84.6107,77.0709,80.0077,76.78,84.7833,86.9036,82.9269,84.1526,70.4269,78.9179,79.2156,75.6209,71.0943,74.4234,81.4967,83.3033,78.9989,79.0565,81.9852,84.8014,82.0136,82.5345,81.6998,85.7499,86.8738,92.8298,98.1168,97.5521,94.8577,94.7502,93.9192,101.2118,95.9603
ABT,14.2252,14.5648,14.0011,14.1382,14.1249,14.426,15.9078,16.2175,16.1708,15.9216,15.6368,16.3238,17.8654,18.4115,18.8092,19.1945,19.1029,18.1537,17.2891,17.7052,18.2885,18.743,19.7347,19.268,19.3819,18.4746,19.0266,18.3226,19.5731,18.3991,19.6945,20.0755,20.1279,19.4188,18.447,18.7921,19.6613,16.7887,16.9164,14.9755,16.1242,16.8327,16.2387,16.3253,17.8557,18.3998,19.8261,19.6441,19.4014,19.8925,19.3062,18.9069,17.5765,17.2882,18.3056,18.4026,19.4842,19.2995,17.4906,18.0171,17.14,18.2558,18.6164,19.9391,20.0196,20.1613,19.8421,20.3022,19.7725,21.0191,21.2844,21.9399,21.3113,22.2795,24.1214,24.6332,24.526,25.5898,26.5261,26.218,27.4261,26.3945,26.193,26.3945,28.5319,28.4561,29.7446,31.2088,30.9975,29.4844,31.0862,28.2856,28.1668,31.1474,32.545,32.6643,31.4169,34.0906,33.0023,33.3967,34.4915,35.2588,36.5039,36.6079,36.0446,37.978,38.7795,39.2239,39.2072,41.4934,40.5824,40.8709,42.7904,43.213,44.8459,40.0685,35.583,39.8675,39.9743,39.9654,33.9001,34.6972,37.4647,35.0495,35.7072,35.4189,40.5702,38.0952,38.34,35.8006,34.7331,35.0433,38.3546,41.394,40.7788,40.3154,42.1815,44.9068,45.6819,47.3168,49.5646,50.6167,52.6142,53.2675,58.294,56.5778,56.1933,54.7741,57.9778,57.4689,62.0319,63.2623,69.4333,65.5134,70.3694,68.7349,69.6777,74.1077,76.3227,76.2715,72.9833,80.6239,83.8183,82.1053,80.5175,80.7831,82.5609,83.9232,84.5473,74.7381,76.5621,89.7108,92.4677,89.0679,98.4122,107.0467,106.4209,103.1266,106.1779,107.424
ADBE,39.73,38.55,34.95,39.2,28.63,30.36,28.51,32.44,37.46,38.25,40.16,41.12,38.87,39.25,41.7,41.56,44.0601,40.15,40.29,42.75,43.66,47.9,42.14,42.73,34.93,33.65,35.59,37.29,44.06,39.39,41.35,42.83,39.47,26.64,23.16,21.29,19.31,16.7,21.39,27.35,28.18,28.3,32.42,31.42,33.04,32.94,35.08,36.78,32.3,34.65,35.37,33.6,32.08,26.43,28.72,27.7,26.15,28.15,27.8,30.78,33.05,34.5,33.16,33.55,34.63,31.45,27.71,25.24,24.17,29.41,27.42,28.27,30.95,32.89,34.31,33.55,31.05,32.37,30.88,31.27,32.435,34.025,34.61,37.68,37.83,39.31,43.515,45.08,42.91,45.56,47.28,45.75,51.94,54.22,56.78,59.879,59.19,68.63,65.74,61.69,64.54,72.36,69.2499,71.9,69.19,70.12,73.68,72.7,70.13,79.1,73.94,76.06,79.09,81.01,81.99,78.57,82.22,88.66,91.46,93.94,89.13,85.15,93.8,94.22,99.47,95.79,97.86,102.31,108.54,107.51,102.81,102.95,113.38,118.34,130.13,133.74,141.86,141.44,146.49,155.16,149.18,175.16,181.47,175.24,199.76,209.13,216.08,221.6,249.28,243.81,244.68,263.51,269.95,245.76,250.89,226.24,247.82,262.5,266.49,289.25,270.9,294.65,298.86,284.51,276.25,277.93,309.53,329.81,351.14,345.12,318.24,353.64,386.6,435.31,444.32,513.39,490.43,447.1,478.47,500.12
ADI,26.5572,25.5493,25.6498,25.4019,22.7034,21.6332,21.761,20.7405,19.8944,21.5392,22.1195,22.3576,22.276,24.6974,23.5785,26.4019,24.8792,25.8617,24.357,25.4641,24.967,23.1027,21.2523,22.0133,19.694,18.694,20.6333,22.5135,24.6835,22.3354,21.4496,19.7963,18.6564,15.1234,12.1072,13.6223,14.3098,13.3501,13.9472,15.402,17.815,18.0851,19.9753,20.7629,20.2705,18.8373,22.0418,23.3631,19.9452,21.632,21.4673,22.2941,21.8959,20.9125,22.3012,21.0863,23.7334,25.4654,26.8948,28.6616,29.5442,30.3431,30.1286,30.8401,31.6951,30.1323,26.4832,25.6172,24.244,28.3713,27.2387,27.9575,30.5751,30.6376,31.8154,30.6971,28.8794,29.9117,31.0313,31.7949,31.3428,31.2999,32.4829,33.8999,35.1733,36.7199,37.7511,35.7211,37.5744,36.8626,40.3968,38.1395,38.7741,40.6283,39.7383,42.2642,40.0568,42.4798,44.4191,42.8727,44.0927,45.5153,41.7778,43.032,41.9667,42.0769,46.3338,47.3883,44.4735,50.3048,54.1373,53.1405,58.7417,55.4787,50.4179,48.6391,49.118,52.3485,53.6633,48.4862,47.2065,46.8205,52.2986,49.7628,52.0615,50.4063,56.8049,56.0476,57.7409,57.4273,66.8881,65.4285,67.5187,74.2213,74.2394,69.0304,77.691,70.8723,71.9745,76.2196,78.9325,83.6317,79.2898,81.9785,84.6028,83.0098,84.3466,80.8479,89.9462,89.198,89.4026,92.3703,86.3991,78.2227,86.349,80.6281,92.8684,100.9848,99.3892,109.7463,91.7247,107.1514,111.5089,104.7819,106.5946,101.729,107.7585,113.9175,105.204,105.1347,86.4312,105.6649,109.5031,118.8974,111.3451,113.9034,113.7669,115.5114,135.538,144.6064
ADM,21.5249,21.7461,23.0692,24.9134,28.5665,28.3672,30.2363,28.3615,26.0951,26.5222,24.2478,22.0786,22.1063,23.8078,25.4365,26.8227,24.3634,23.0075,23.3621,23.5112,23.0787,24.9623,25.4401,32.4947,30.7801,31.6582,28.8925,30.9282,27.9515,23.7623,20.1575,18.0175,15.5053,14.6702,19.474,20.5053,19.474,19.06,19.8607,17.6015,19.7818,19.2427,21.6507,20.8291,21.1109,21.7611,22.3564,22.7192,21.7469,21.4127,21.0772,20.377,18.5333,18.9366,20.0661,22.7065,23.5245,24.5563,21.4735,22.2809,24.1993,27.6609,26.7904,27.5418,24.2334,22.5436,22.7155,21.4164,18.6566,21.7623,22.7834,21.6336,21.6563,23.7329,24.0828,23.4514,24.3808,22.576,19.9528,20.5962,20.9273,20.6655,20.7023,21.2373,22.1212,24.8473,26.3057,26.4694,25.276,26.5936,28.6012,27.7565,29.0414,32.242,31.8787,34.3736,31.2688,32.3463,34.5691,34.84,35.998,35.3331,37.1675,40.1319,41.13,37.8299,42.5974,42.0475,37.7053,38.9446,38.5541,39.7579,43.2162,39.4302,38.776,37.0058,34.094,37.5569,30.234,30.3915,29.2895,29.2411,30.3702,33.4064,36.0585,36.1597,38.006,37.146,35.7964,36.9848,36.9529,39.0215,37.8333,40.4412,39.6404,39.3907,36.0738,35.9003,36.5943,36.121,37.1613,35.7276,35.1485,35.3248,37.8543,36.8782,38.5214,40.3067,39.1245,41.0127,43.1872,45.4079,45.2908,42.5699,41.7663,37.1831,40.7499,38.8933,39.4698,40.8151,35.3685,37.6575,37.9159,35.4454,38.2587,39.1623,40.3207,43.5328,42.0395,35.6407,33.3025,35.1579,37.5969,38.1612,40.9635,43.1572,44.8252,44.5842,48.3384,48.96
ADP,23.2658,24.4572,24.2837,23.4331,24.172,24.2062,23.3575,25.1937,25.3675,26.4928,25.8444,26.5181,25.6943,26.7873,26.1849,26.92,29.891,29.2878,28.0491,27.6382,27.896,30.1007,27.3676,27.2175,24.6199,24.4182,26.0971,27.2114,26.5034,25.9725,26.4746,27.5098,26.6717,21.8053,25.6173,24.7546,22.8606,21.4888,22.3375,22.3629,24.1481,22.7141,23.8741,24.5791,25.4042,25.7274,28.0869,27.8981,26.5755,27.1097,29.1976,28.4754,26.8405,26.6534,27.322,25.561,28.0637,29.7063,29.7597,31.1409,32.231,33.644,34.7697,36.8364,37.3447,35.9429,35.131,34.1349,32.4061,35.9664,35.1141,37.4021,37.9353,37.6167,38.4974,38.7973,36.3769,39.1141,39.7396,40.8148,41.5061,40.8905,40.1511,40.5872,42.2698,43.7455,46.6857,48.3441,49.3348,49.7547,52.09,51.4166,52.6054,54.5278,58.1582,59.0884,56.0176,56.8806,56.8494,57.3645,58.6301,58.6923,60.1951,61.8016,61.8586,69.2645,72.5338,71.0224,70.3068,75.6823,73.3769,72.4344,73.2655,69.1417,68.7453,66.6339,69.6395,75.4414,74.8083,73.9311,72.5087,73.905,78.7697,77.6546,77.1278,81.1565,78.577,79.3367,78.3735,77.3605,85.3222,91.8626,90.2628,91.7196,92.017,93.9043,91.9991,92.5999,107.4669,96.224,99.3168,105.6217,103.9865,107.0455,112.928,105.3373,104.215,108.4394,119.4046,123.8198,124.6044,135.4596,139.7219,133.6196,136.7172,122.2957,130.4288,142.7311,149.772,154.1319,150.1283,155.7579,156.879,160.0068,152.8232,153.5901,161.6847,162.2984,163.1456,147.2965,131.014,140.609,140.4173,143.6261,128.2111,134.1726,135.4868,153.4267,168.8898,172.0686
ADSK,40.59,37.65,38.52,42.04,36.39,34.46,34.11,34.76,34.78,36.75,41.18,40.46,43.72,41.15,37.6,41.27,45.45,47.08,42.37,46.32,49.97,48.9,47.09,49.76,41.15,31.09,31.48,38,41.16,33.81,31.89,35.53,33.55,21.31,16.59,19.65,16.56,12.69,16.81,19.94,21.46,18.98,21.81,23.43,23.8,24.93,23.45,25.41,23.79,27.88,29.38,33.99,29.26,24.36,29.54,27.73,31.97,36.1975,35.29,38.2,40.68,42.05,44.11,44.98,42.98,38.6,34.4,28.2,27.79,34.6,34.07,30.33,36,37.85,42.32,39.37,32.02,34.99,33.92,31.05,33.35,31.852,33.13,35.35,38.88,36.72,41.25,39.38,37.73,33.94,35.39,36.75,41.17,39.9,45.25,50.319,51.25,52.48,49.18,48.02,52.37,56.38,53.35,53.64,55.1,57.54,62,60.06,54.005,64.24,58.64,56.83,54.15,50.075,50.58,46.75,44.14,55.19,63.47,60.93,46.82,51.74,58.31,59.82,58.27,54.14,59.45,67.4,72.33,72.28,72.61,74.01,81.34,86.3,86.47,90.07,111.77,100.82,110.79,114.46,112.26,124.96,109.7,104.83,115.62,117.47,125.58,125.9,129.1,131.09,128.44,154.35,156.11,129.25,144.5,128.61,147.2,163.01,155.82,178.21,160.91,162.9,156.17,142.82,147.7,147.36,180.9,183.46,196.85,190.88,156.1,187.13,210.38,239.19,236.43,245.7,231.01,235.54,280.23,305.34
AEE,25.1197,25.0751,24.9723,25.2479,24.8068,25.6347,26.1423,27.1829,27.1219,27.7949,28.1083,27.9273,27.605,27.132,26.473,27.6677,27.9309,26.1099,25.5612,27.0529,28.3163,29.1577,29.0444,29.5873,24.4187,23.3052,24.402,25.1334,25.1833,23.7387,23.0978,23.5307,22.2857,18.5286,20.3158,19.3543,19.3485,13.8378,13.7574,13.6566,13.799,15.006,15.3316,16.26,15.464,14.889,15.8983,17.3416,15.8525,15.3313,16.4257,16.3501,15.5313,15.2121,16.236,17.9639,18.424,18.8003,18.6316,18.5334,18.6517,18.3822,18.7136,19.5403,19.807,19.4853,19.4718,20.4447,20.3809,21.8254,23.1467,22.9664,21.9335,22.2316,22.8658,23.0131,22.6763,23.8239,24.2998,23.2414,23.4911,23.6421,21.5497,22.3858,23.6391,24.6229,25.82,26.7269,25.0975,25.6889,26.7107,25.2189,26.3015,27.3131,27.0639,27.6036,28.8861,30.848,31.7683,31.8532,30.3418,31.8449,29.952,31.1516,30.1607,33.316,33.9219,36.637,35.962,33.6826,33.85,32.8393,32.2698,30.551,33.3078,32.6672,34.6331,35.7884,35.8539,35.77,37.1684,38.848,41.8283,40.4329,41.7385,45.5204,44.5519,41.9862,42.1386,42.7983,42.0871,45.3512,45.5155,47.2791,47.5779,47.6651,49.4605,48.0212,49.2772,52.6942,51.1817,54.8539,56.5971,52.5885,50.4846,48.4074,50.9116,52.7006,53.2131,55.1519,56.2486,57.309,57.7011,58.9424,62.6297,59.938,63.7145,65.4604,68.0265,67.3051,67.8323,69.9098,70.4496,71.8085,74.9847,72.7834,69.6266,72.4177,77.3682,74.4922,69.0859,69.01,70.8882,67.1818,76.6155,75.5365,75.9908,77.9511,74.7416,75.5106
AEP,19.4737,19.2418,17.9344,17.6392,18.2674,18.2567,19.2535,19.6424,19.5832,22.3077,22.5621,23.1437,23.6601,24.6162,26.727,27.5329,26.3173,24.8863,24.0298,24.7772,25.6684,26.8549,26.7894,26.1656,24.0132,23.212,23.6148,25.3165,24.237,23.0346,22.6167,22.5891,21.426,18.8801,18.3587,19.5263,18.3939,16.6608,15.0036,15.6689,15.8901,17.4285,18.6772,19.2136,18.9446,18.4739,19.9382,21.5486,21.4619,21.0841,21.4352,21.5105,20.3046,20.5206,22.8586,22.759,23.2861,24.0638,23.1662,23.4135,23.2182,23.5822,23.1604,24.0436,25.496,25.1489,24.6016,26.1328,25.7201,26.5725,27.1649,28.2808,27.0828,26.0556,26.7276,26.9078,27.0081,27.9829,29.624,30.4846,31.1583,31.5129,30.5814,30.6029,32.4744,33.9036,35.2369,37.2658,33.5254,32.7644,33.9132,31.6532,32.0599,34.641,35.176,34.9368,36.4841,37.9172,38.2647,40.644,40.6731,42.5181,39.6363,41.3553,40.2079,44.9287,44.7262,47.1898,48.8141,45.1505,44.1076,44.5937,44.5646,41.9362,44.7863,43.3861,45.4399,45.2721,45.2252,47.05,49.2301,50.3067,54.095,51.7324,53.1919,57.5965,56.9473,53.5029,53.2046,53.7267,49.3856,52.6557,53.5756,56.5273,56.6624,57.2532,61.1151,59.1483,60.0593,63.2086,60.2984,63.8782,67.1898,63.6758,59.53,57.3156,59.9463,61.1611,59.9425,61.0894,62.7566,63.8298,63.0734,65.2803,69.8028,67.1091,71.0419,73.4791,75.8333,77.4632,78.6098,80.3349,80.1524,83.8239,86.1597,86.8035,84.666,87.5948,96.5943,83.3004,74.64,77.561,80.2667,74.9846,81.8014,74.8219,77.5744,85.3575,81.2344,79.6841
AES,11.4084,11.5825,11.4218,11.3616,12.319,12.3524,13.2964,14.2204,13.6513,14.7225,15.6464,14.756,13.9191,14.2739,14.4078,14.7225,15.8874,14.6489,13.1559,12.1248,13.417,14.3342,14.6288,14.3208,12.7809,12.0378,11.1607,11.6227,13.042,12.8613,10.8059,10.2167,7.8266,5.336,5.1485,5.5168,5.2958,4.2179,3.8898,5.3242,7.5232,8.7432,9.6318,10.2945,11.1606,9.8427,9.5942,10.0234,9.5113,8.8034,8.2838,8.6905,7.7341,6.9584,7.7642,7.7115,8.5474,8.9917,8.1407,9.1724,9.3381,9.3155,9.79,9.9707,9.7598,9.5942,9.2703,8.1784,7.35,8.4495,9.0971,8.9164,9.6092,10.2117,9.8427,9.4285,9.1047,9.6619,9.0821,8.5775,8.2612,7.8997,8.0661,8.0887,8.2247,8.8165,9.5373,10.5469,9.2837,9.1239,9.4969,9.703,10.1458,10.7867,11.1542,11.1083,10.8024,10.4874,10.9714,11.1408,10.8709,11.9888,11.3017,11.7426,10.9691,10.923,10.7677,10.6901,9.5644,10.1514,10.0575,10.3706,10.7247,10.4566,10.1734,9.5376,7.7811,8.7821,8.0122,7.6754,7.7074,7.9508,9.5734,9.1438,9.0864,10.2253,10.2096,9.9782,10.623,9.822,9.555,9.6969,9.6488,9.7163,9.4295,9.6406,9.956,9.4701,9.5298,9.5113,9.494,9.2614,9.2179,9.4357,10.185,9.577,10.0176,10.8986,11.3527,11.9404,11.8959,12.0999,12.5853,13.2236,14.0489,13.1147,14.989,15.7572,16.5345,15.7814,14.5646,15.4496,15.603,14.2463,15.1849,15.9715,17.7139,18.6412,18.7359,15.783,12.8302,12.6352,11.9105,13.8177,14.66,17.0857,17.4322,18.9079,19.8194,22.7864
AFL,16.0302,15.8339,15.4505,16.2756,16.0661,15.9117,15.153,15.5187,15.7563,15.467,15.2534,15.8961,16.4525,16.3877,16.3252,17.81,18.4094,17.9009,18.1517,18.6397,19.9439,21.9508,21.9785,21.975,21.4347,21.9823,22.877,23.4828,23.729,22.1984,19.6569,20.1298,20.8576,15.7204,16.5396,16.3753,8.2912,6.0689,7.0103,10.4612,12.956,11.3465,13.8173,14.9292,15.7084,15.2489,17.022,17.1033,17.9095,18.3948,20.1952,18.9565,16.5794,15.9694,18.4095,17.7876,19.4666,21.0402,19.4943,21.3605,21.7958,22.3971,20.0836,21.3811,18.2867,17.862,17.6247,14.5473,13.479,17.3896,16.878,16.8081,18.7391,18.4822,17.9894,17.6178,15.7987,16.7881,17.2572,18.335,19.01,19.7644,21.1872,21.2392,21.2152,20.1154,20.949,21.9236,22.5682,23.553,24.9957,23.557,25.2691,26.4879,27.2041,27.3804,25.7326,26.4204,25.9916,25.8596,25.3956,25.8186,24.7776,25.554,24.3064,24.9239,25.0883,25.6595,23.9752,26.3118,27.0557,26.6457,26.4595,26.451,27.2378,25.0707,24.8696,27.274,28.0912,25.7919,24.9566,25.8173,27.3875,29.9163,30.3078,31.4859,31.5383,32.55,31.5364,30.22,31.5077,30.722,30.8941,32.1293,32.1604,33.2529,33.6697,34.697,35.6216,37.0712,36.5503,37.673,39.5672,39.6304,39.82,40.3616,39.744,41.3879,41.1582,39.2948,42.51,42.4701,43.2324,39.5585,42.2574,42.0911,44.0682,45.6488,46.4477,46.8007,47.903,51.1806,49.1543,47.1011,49.1098,49.8983,51.7322,49.9021,48.6475,40.6398,32.4739,35.3192,34.8769,34.4561,34.0162,34.9953,35.0242,32.7117,42.6034,43.127
AIG,871.2389,883.2175,881.6164,870.4111,813.0507,789.6487,811.3123,855.6516,888.3653,900.566,945.017,963.025,919.8865,904.0959,905.5778,941.817,976.7842,945.593,866.6023,891.1772,916.2458,854.8919,787.3077,792.326,747.0696,636.8507,590.4242,630.6959,491.4514,363.2392,357.6108,295.0118,46.1592,26.4757,27.8618,21.7627,17.7429,5.8219,13.8616,19.129,23.4261,16.0795,9.1071,31.4174,30.5718,23.3014,19.6835,20.7786,16.7933,17.1676,23.6618,26.9608,24.5212,23.8697,26.6628,23.5162,27.0995,29.1163,28.6173,39.9353,33.3252,30.6079,29.0222,25.7269,23.5382,24.2155,23.7034,20.9201,18.1286,20.3915,19.2518,19.1609,20.7384,24.1329,25.4626,28.1055,24.0998,26.5032,25.826,28.3532,27.0813,28.8488,27.3622,29.1544,31.2439,31.3926,32.0615,34.2089,36.7196,36.9178,37.5868,38.3714,40.2449,42.7442,41.1718,42.3345,39.772,41.273,41.5732,44.1668,44.9483,45.4748,43.3085,46.7079,45.1104,44.7346,45.7617,46.8785,40.9025,46.3093,45.9627,47.221,49.1673,51.9682,53.9016,50.724,47.9947,53.2655,53.7047,52.5798,47.9217,42.5933,46.1447,47.6558,49.4145,45.4119,46.7427,51.3706,51.2299,53.2674,54.6746,56.665,55.754,55.459,54.4406,53.1151,55.487,54.7924,57.3603,53.0046,54.09,56.9271,52.83,52.7773,56.6218,50.793,48.4873,49.895,47.035,47.5163,49.4789,47.6507,48.0001,37.2263,38.9934,35.842,39.3162,39.2889,39.448,43.5797,46.7861,49.1043,51.6019,47.9615,51.6263,49.0867,48.8087,47.878,46.8799,39.3247,22.8731,23.9861,28.3532,29.6945,30.6087,27.7517,26.5002,30.3121,37.0021,36.7444
